Gene_ID	Leaf.base	Minus.1cm	Plus.4cm	Leaf.tip
GRMZM2G043275	9.572100742	6.299351625	85.24121384	152.9749159
GRMZM2G044174	2.288180058	1.767099937	5.043527801	13.23392801
GRMZM2G045473	0	0.218596217	7.730422269	10.88280236
GRMZM2G046061	15.43278944	6.373829393	22.19185462	28.91960245
GRMZM2G046574	33.29215651	20.83506543	46.82121009	69.16346496
GRMZM2G046601	2.061230489	1.017313162	19.52133111	33.40825691
GRMZM2G046933	0.913986729	0.863174804	6.724267145	19.29531988
GRMZM2G046952	8.709963742	7.585514074	28.5422061	37.59466377
GRMZM2G047002	31.54635607	6.637817125	106.0052091	155.2375486
GRMZM2G047187	7.968920608	2.809252641	16.597384	19.52057659
GRMZM2G047262	0.389973669	0.099036929	30.43870535	43.17792786
GRMZM2G047347	2.397938647	2.218411405	4.936862269	5.852016289
GRMZM2G047368	28.20329973	18.13527634	53.17566929	199.4343235
